,Latitude,Longitude
530,46.69,-71.97
531,51.52,-109.18
532,50.02,-125.30
533,50.87,-114.13
534,46.45,-79.87
535,43.62,-80.08
536,45.21,-67.25
537,44.17,-79.21
538,46.67,-71.75
539,45.42,-63.47
540,47.43,-61.78
541,48.82,-123.67
542,43.78,-79.42
543,61.59,-71.93
544,53.37,-105.60
545,51.53,-100.38
546,53.02,-115.42
547,51.11,-114.37
548,43.70,-79.48
549,50.46,-111.32
550,69.08,-138.02
551,50.45,-105.20
552,63.75,-68.54
553,56.43,-118.02
554,50.30,-89.03
555,45.47,-73.74
556,51.93,-112.87
557,50.27,-96.52
558,67.57,-139.84
559,48.52,-72.27
560,45.90,-66.12
561,44.58,-75.78
562,52.36,-97.02
563,50.83,-114.50
564,53.13,-112.95
565,45.08,-67.08
566,50.57,-113.87
567,48.67,-58.45
568,50.47,-104.67
569,44.98,-62.48
570,44.08,-65.77
571,53.55,-113.50
572,49.18,-122.53
573,49.57,-109.93
574,46.78,-71.29
575,45.22,-65.95
576,53.92,-106.08
577,49.47,-123.92
578,47.37,-68.33
579,65.76,-111.25
580,50.88,-119.40
581,49.15,-119.23
582,51.46,-111.65
583,50.00,-117.37
584,49.75,-123.00
585,50.18,-113.88
586,51.97,-114.45
587,43.32,-81.75
588,62.13,-118.12
589,68.75,-133.50
590,54.62,-107.40
591,47.71,-59.31
592,49.83,-97.18
593,43.40,-80.43
594,45.62,-61.37
595,45.42,-63.62
596,52.15,-123.70
597,43.47,-80.03
598,52.20,-87.94
599,44.57,-80.92
600,48.50,-123.53
601,72.98,-84.62
602,43.20,-80.78
603,53.50,-104.48
604,44.62,-65.77
605,49.22,-112.85
606,51.43,-116.33
607,52.88,-131.98
608,55.55,-98.60
609,49.15,-125.91
610,49.77,-119.75
611,49.00,-97.24
612,64.12,-117.35
613,51.03,-113.88
614,48.63,-79.46
615,56.33,-119.48
616,49.11,-125.92
617,48.42,-68.89
618,50.53,-121.77
619,45.49,-62.01
620,46.58,-67.60
621,46.10,-60.75
622,49.08,-122.52
623,43.85,-79.05
624,53.12,-109.63
625,51.30,-117.52
626,49.52,-114.03
627,52.00,-104.63
628,53.00,-61.50
629,51.03,-115.03
630,53.55,-118.03
631,55.35,-118.41
632,56.23,-117.45
633,44.70,-79.67
634,50.78,-115.05
635,45.73,-63.87
636,45.47,-75.17
637,48.78,-94.05
638,47.29,-53.99
639,45.92,-64.88
640,61.09,-94.07
641,53.23,-116.97
642,50.55,-105.38
643,49.10,-118.58
644,54.30,-110.62
645,44.55,-80.45
646,54.13,-114.68
647,51.52,-114.57
648,45.58,-63.83
649,43.81,-79.81
650,48.38,-123.88
651,49.68,-98.55
652,80.00,-86.43
653,45.23,-71.50
654,48.85,-94.02
655,49.35,-123.12
656,45.34,-80.03
657,45.30,-72.63
658,45.38,-79.12
659,48.78,-64.48
660,52.43,-114.92
661,53.31,-110.07
662,43.58,-79.98
663,60.71,-135.07
664,55.05,-126.48
665,50.52,-119.85
666,46.17,-60.16
667,47.25,-79.58
668,45.88,-64.82
669,54.42,-110.77
